,district,meter,built_year,price_per_meter,room,elevator,parking,storage,floor_en,total_floor,district_code
1,اسکندری,83,1389,26506000.0,2,0.0,0.0,1.0,2,4,25
2,اسکندری,49,1380,23265000.0,1,0.0,0.0,1.0,1,1,25
3,اسکندری,50,1383,30000000.0,1,0.0,1.0,1.0,3,3,25
4,اسکندری,53,1378,26415000.0,1,0.0,0.0,0.0,2,4,25
5,اسکندری,42,1400,40000000.0,1,1.0,0.0,1.0,3,4,25
6,اسکندری,37,1382,24865000.0,1,0.0,0.0,1.0,0,0,25
7,اسکندری,86,1398,36977000.0,2,1.0,1.0,1.0,1,1,25
8,اسکندری,60,1395,33333000.0,1,1.0,1.0,1.0,1,1,25
9,اسکندری,62,1396,26290000.0,1,1.0,0.0,1.0,1,4,25
10,اسکندری,38,1381,21579000.0,1,0.0,1.0,1.0,0,0,25
11,اسکندری,62,1388,29032000.0,1,1.0,1.0,1.0,4,4,25
12,اسکندری,74,1399,34865000.0,2,1.0,1.0,1.0,3,3,25
13,اسکندری,50,1381,22800000.0,1,0.0,0.0,1.0,2,2,25
14,اسکندری,45,1383,24444000.0,1,0.0,0.0,1.0,3,3,25
16,اسکندری,59,1400,37119000.0,1,1.0,0.0,1.0,4,4,25
17,اسکندری,78,1381,34615000.0,2,0.0,0.0,1.0,1,4,25
19,جمال‌زاده,135,1400,37037000.0,3,1.0,1.0,1.0,5,5,65
20,اسکندری,86,1388,29070000.0,2,0.0,0.0,1.0,2,2,25
21,اسکندری,48,1379,25000000.0,1,0.0,0.0,0.0,3,3,25
22,اسکندری,42,1378,23452000.0,1,0.0,0.0,1.0,3,4,25
23,اسکندری,84,1398,35714000.0,2,1.0,1.0,1.0,1,1,25
24,اسکندری,53,1383,21887000.0,1,0.0,0.0,1.0,3,3,25
25,اسکندری,39,1380,24359000.0,1,0.0,1.0,1.0,0,0,25
26,اسکندری,30,1376,25667000.0,0,0.0,0.0,1.0,0,0,25
27,اسکندری,60,1390,30833000.0,2,1.0,1.0,0.0,4,4,25
28,اسکندری,62,1392,43548000.0,2,1.0,1.0,1.0,3,4,25
29,اسکندری,38,1381,25000000.0,1,0.0,1.0,1.0,0,0,25
30,اسکندری,74,1382,18919000.0,2,0.0,0.0,1.0,4,4,25
31,اسکندری,51,1380,32353000.0,1,0.0,1.0,1.0,3,3,25
32,اسکندری,46,1388,25435000.0,1,0.0,0.0,1.0,3,4,25
33,اسکندری,86,1397,34884000.0,2,1.0,1.0,1.0,3,5,25
34,اسکندری,75,1395,36000000.0,2,1.0,1.0,1.0,5,5,25
35,اسکندری,85,1398,38824000.0,2,1.0,1.0,1.0,1,1,25
36,اسکندری,75,1398,36667000.0,2,1.0,1.0,1.0,5,5,25
37,اسکندری,103,1370,23981000.0,2,0.0,0.0,0.0,2,4,25
38,اسکندری,49,1383,22245000.0,1,0.0,0.0,1.0,3,4,25
